Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"ALMS1","ALMS1 Centrosome And Basal Body Associated Protein","Protein Coding","Q8TCU4","52","GC02P073385","18.2894821166992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALMS1"
"ABCC8","ATP Binding Cassette Subfamily C Member 8","Protein Coding","Q09428","59","GC11M017392","17.9795036315918","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC8"
"MKKS","MKKS Centrosomal Shuttling Protein","Protein Coding","Q9NPJ1","52","GC20M010498","17.9689445495605","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKKS"
"BBS4","Bardet-Biedl Syndrome 4","Protein Coding","Q96RK4","54","GC15P072686","17.9608993530273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS4"
"BBS2","Bardet-Biedl Syndrome 2","Protein Coding","Q9BXC9","53","GC16M056467","17.9316787719727","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS2"
"NPY","Neuropeptide Y","Protein Coding","P01303","58","GC07P024293","17.8134536743164","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPY"
"PNLIP","Pancreatic Lipase","Protein Coding","P16233","60","GC10P116545","17.704906463623","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNLIP"
"APOE","Apolipoprotein E","Protein Coding","P02649","63","GC19P123244","17.5701446533203","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE"
"CNR1","Cannabinoid Receptor 1","Protein Coding","P21554","59","GC06M088139","17.3508682250977","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR1"
"SERPINE1","Serpin Family E Member 1","Protein Coding","P05121","64","GC07P101127","17.2697315216064","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1"
"APOA1","Apolipoprotein A1","Protein Coding","P02647","63","GC11M116835","17.147087097168","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA1"
"BBS7","Bardet-Biedl Syndrome 7","Protein Coding","Q8IWZ6","51","GC04M121824","17.0822143554688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS7"
"PLIN1","Perilipin 1","Protein Coding","O60240","60","GC15M089664","17.0213222503662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN1"
"AOMS2","Abdominal Obesity-Metabolic Syndrome QTL2","Genetic Locus","","4","GC17U990216","16.9994449615479","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AOMS2"
"LINC01672","Long Intergenic Non-Protein Coding RNA 1672","RNA Gene","","21","GC01P050860","16.9252128601074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01672"
"CARTPT","CART Prepropeptide","Protein Coding","Q16568","55","GC05P071719","16.9194030761719","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARTPT"
"BBS9","Bardet-Biedl Syndrome 9","Protein Coding","Q3SYG4","52","GC07P033898","16.8731899261475","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS9"
"BBS5","Bardet-Biedl Syndrome 5","Protein Coding","Q8N3I7","51","GC02P169489","16.8233451843262","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS5"
"TTC8","Tetratricopeptide Repeat Domain 8","Protein Coding","Q8TAM2","52","GC14P093205","16.7590274810791","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTC8"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","Q9UBK2","60","GC04M023755","16.688455581665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1A"
"FFAR4","Free Fatty Acid Receptor 4","Protein Coding","Q5NUL3","51","GC10P093566","16.5147190093994","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FFAR4"
"NUDC","Nuclear Distribution C, Dynein Complex Regulator","Protein Coding","Q9Y266","55","GC01P052772","16.478141784668","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDC"
"GCG","Glucagon","Protein Coding","P01275","55","GC02M162142","16.4492340087891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCG"
"BBS12","Bardet-Biedl Syndrome 12","Protein Coding","Q6ZW61","46","GC04P122702","16.4304180145264","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBS12"
"SMAD5-AS1","SMAD5 Antisense RNA 1","RNA Gene","Q9Y6J3","31","GC05M136129","16.4015140533447","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD5-AS1"
"OBHP","Obesity And Hypopigmentation","Genetic Locus","","2","GC20U903709","16.1106014251709","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OBHP"
"IRAK1BP1","Interleukin 1 Receptor Associated Kinase 1 Binding Protein 1","Protein Coding","Q5VVH5","40","GC06P078867","15.9935121536255","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRAK1BP1"
"IRS1","Insulin Receptor Substrate 1","Protein Coding","P35568","61","GC02M226731","15.8452825546265","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRS1"
"PNPLA2","Patatin Like Phospholipase Domain Containing 2","Protein Coding","Q96AD5","58","GC11P012273","15.7373199462891","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA2"
"LOC108167315","POMC Promoter Region","Functional Element","","7","GC02P025291","15.5580005645752","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108167315"
"MEG3","Maternally Expressed 3","RNA Gene","","37","GC14P117888","15.4924507141113","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEG3"
"MT-CYB","Mitochondrially Encoded Cytochrome B","Protein Coding","P00156","43","GCMTP014749","15.4222974777222","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-CYB"
"NAMPT","Nicotinamide Phosphoribosyltransferase","Protein Coding","P43490","60","GC07M106248","15.2761058807373","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NAMPT"
"LEPROT","Leptin Receptor Overlapping Transcript","Protein Coding","O15243","44","GC01P065420","15.1730298995972","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEPROT"
"AQP7","Aquaporin 7","Protein Coding","O14520","54","GC09M033384","15.1716995239258","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AQP7"
"CDKAL1","CDK5 Regulatory Subunit Associated Protein 1 Like 1","Protein Coding","Q5VV42","52","GC06P020534","15.0657901763916","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKAL1"
"BBIP1","BBSome Interacting Protein 1","Protein Coding","A8MTZ0","43","GC10M110898","14.8763313293457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BBIP1"
"DNM1L","Dynamin 1 Like","Protein Coding","O00429","61","GC12P032679","14.8180370330811","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM1L"
"NR3C1","Nuclear Receptor Subfamily 3 Group C Member 1","Protein Coding","P04150","62","GC05M143277","14.7853050231934","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1"
"SDCCAG8","SHH Signaling And Ciliogenesis Regulator SDCCAG8","Protein Coding","Q86SQ7","54","GC01P243255","14.7604541778564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDCCAG8"
"ARL6","ADP Ribosylation Factor Like GTPase 6","Protein Coding","Q9H0F7","53","GC03P097764","14.6631126403809","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARL6"
"CEP290","Centrosomal Protein 290","Protein Coding","O15078","53","GC12M088049","14.5842714309692","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CEP290"
"SLC6A14","Solute Carrier Family 6 Member 14","Protein Coding","Q9UN76","52","GC0XP116436","14.5380477905273","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC6A14"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","P04278","55","GC17P007613","14.5243740081787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"GNB3","G Protein Subunit Beta 3","Protein Coding","P16520","59","GC12P006839","14.5189990997314","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNB3"
"SLC17A5","Solute Carrier Family 17 Member 5","Protein Coding","Q9NRA2","58","GC06M073593","14.4914569854736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC17A5"
"BMIQ7","Obesity, Susceptibility To, On Chromosome 4","Genetic Locus","","2","GC04U901803","14.3652687072754","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMIQ7"
"GHRLOS","Ghrelin Opposite Strand/Antisense RNA","RNA Gene","","24","GC03P022806","14.3501281738281","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRLOS"
"MAGEL2","MAGE Family Member L2","Protein Coding","Q9UJ55","50","GC15M023643","14.2691020965576","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAGEL2"
"POLG","DNA Polymerase Gamma, Catalytic Subunit","Protein Coding","P54098","60","GC15M152330","14.2399892807007","https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG"
"HNF1A","HNF1 Homeobox A","Protein Coding","P20823","59","GC12P120978","14.1973743438721","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF1A"
"DGAT1","Diacylglycerol O-Acyltransferase 1","Protein Coding","O75907","60","GC08M146799","14.133337020874","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGAT1"
"CFAP418","Cilia And Flagella Associated Protein 418","Protein Coding","Q96NL8","44","GC08M095245","14.0506191253662","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFAP418"
"CYP19A1","Cytochrome P450 Family 19 Subfamily A Member 1","Protein Coding","P11511","61","GC15M051208","14.0289535522461","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP19A1"
"CCL2","C-C Motif Chemokine Ligand 2","Protein Coding","P13500","62","GC17P034255","14.0028772354126","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL2"
"GHR","Growth Hormone Receptor","Protein Coding","P10912","59","GC05P042429","13.9944734573364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHR"
"PHF6","PHD Finger Protein 6","Protein Coding","Q8IWS0","52","GC0XP134373","13.9916276931763","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHF6"
"CCK","Cholecystokinin","Protein Coding","P06307","55","GC03M042274","13.8716983795166","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK"
"CENPO","Centromere Protein O","Protein Coding","Q9BU64","43","GC02P024793","13.8619432449341","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CENPO"
"GH1","Growth Hormone 1","Protein Coding","P01241","56","GC17M063917","13.8588809967041","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"LZTFL1","Leucine Zipper Transcription Factor Like 1","Protein Coding","Q9NQ48","51","GC03M045823","13.7257051467896","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LZTFL1"
"MTTP","Microsomal Triglyceride Transfer Protein","Protein Coding","P55157","57","GC04P099563","13.7192916870117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTTP"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","P42898","61","GC01M011785","13.6878662109375","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"SDC3","Syndecan 3","Protein Coding","O75056","54","GC01M030869","13.6813354492188","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SDC3"
"PPARA","Peroxisome Proliferator Activated Receptor Alpha","Protein Coding","Q07869","58","GC22P046150","13.5905618667603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA"
"PIK3CA","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha","Protein Coding","P42336","66","GC03P179148","13.5545778274536","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CA"
"WDPCP","WD Repeat Containing Planar Cell Polarity Effector","Protein Coding","O95876","50","GC02M063121","13.4037189483643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDPCP"
"SLC2A4","Solute Carrier Family 2 Member 4","Protein Coding","P14672","60","GC17P121899","13.3317565917969","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC2A4"
"MT-TP","Mitochondrially Encoded TRNA-Pro (CCN)","RNA Gene","","17","GCMTM015957","13.3166465759277","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MT-TP"
"KSR2","Kinase Suppressor Of Ras 2","Protein Coding","Q6VAB6","48","GC12M117453","13.2044868469238","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KSR2"
"HNF4A","Hepatocyte Nuclear Factor 4 Alpha","Protein Coding","P41235","63","GC20P044355","13.1084842681885","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A"
"GCK","Glucokinase","Protein Coding","P35557","62","GC07M045433","13.0583572387695","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GCK"
"NPC1","NPC Intracellular Cholesterol Transporter 1","Protein Coding","O15118","62","GC18M023506","13.019700050354","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPC1"
"COMT","Catechol-O-Methyltransferase","Protein Coding","P21964","64","GC22P019941","13.0151243209839","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COMT"
"TRIM32","Tripartite Motif Containing 32","Protein Coding","Q13049","55","GC09P116687","13.0056304931641","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRIM32"
"GLDC","Glycine Decarboxylase","Protein Coding","P23378","60","GC09M006522","12.9513711929321","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLDC"
"SCAPER","S-Phase Cyclin A Associated Protein In The ER","Protein Coding","Q9BY12","48","GC15M076347","12.9507875442505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCAPER"
"DNMT3A","DNA Methyltransferase 3 Alpha","Protein Coding","Q9Y6K1","64","GC02M025228","12.8594675064087","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3A"
"KCNJ11","Potassium Inwardly Rectifying Channel Subfamily J Member 11","Protein Coding","Q14654","59","GC11M017988","12.8494939804077","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ11"
"PNPLA3","Patatin Like Phospholipase Domain Containing 3","Protein Coding","Q9NST1","55","GC22P043923","12.8487300872803","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNPLA3"
"PTEN","Phosphatase And Tensin Homolog","Protein Coding","P60484","65","GC10P112611","12.8476514816284","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN"
"IFT27","Intraflagellar Transport 27","Protein Coding","Q9BW83","51","GC22M079319","12.794002532959","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT27"
"ACACA","Acetyl-CoA Carboxylase Alpha","Protein Coding","Q13085","62","GC17M037084","12.7483425140381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACACA"
"BRCA2","BRCA2 DNA Repair Associated","Protein Coding","P51587","60","GC13P032315","12.6977319717407","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA2"
"MKS1","MKS Transition Zone Complex Subunit 1","Protein Coding","Q9NXB0","52","GC17M058205","12.6545858383179","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKS1"
"PTPN1","Protein Tyrosine Phosphatase Non-Receptor Type 1","Protein Coding","P18031","63","GC20P050510","12.6347579956055","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN1"
"LMNA","Lamin A/C","Protein Coding","P02545","62","GC01P156082","12.6288871765137","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNA"
"RAI1","Retinoic Acid Induced 1","Protein Coding","Q7Z5J4","52","GC17P122253","12.6076421737671","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RAI1"
"RIC3","RIC3 Acetylcholine Receptor Chaperone","Protein Coding","Q7Z5B4","45","GC11M008092","12.5744552612305","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIC3"
"PPARGC1B","PPARG Coactivator 1 Beta","Protein Coding","Q86YN6","49","GC05P149730","12.5591640472412","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARGC1B"
"APOA5","Apolipoprotein A5","Protein Coding","Q6Q788","55","GC11M116789","12.5341825485229","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOA5"
"MFN2","Mitofusin 2","Protein Coding","O95140","61","GC01P011980","12.4449090957642","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MFN2"
"RARRES2","Retinoic Acid Receptor Responder 2","Protein Coding","Q99969","52","GC07M150333","12.4355440139771","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RARRES2"
"FABP2","Fatty Acid Binding Protein 2","Protein Coding","P12104","54","GC04M119317","12.4165363311768","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FABP2"
"ADIPOR1","Adiponectin Receptor 1","Protein Coding","Q96A54","57","GC01M202940","12.3804779052734","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOR1"
"CELA2A","Chymotrypsin Like Elastase 2A","Protein Coding","P08217","55","GC01P015456","12.3382024765015","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CELA2A"
"GPD1","Glycerol-3-Phosphate Dehydrogenase 1","Protein Coding","P21695","56","GC12P061692","12.3038349151611","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPD1"
"LPIN1","Lipin 1","Protein Coding","Q14693","60","GC02P011677","12.2970533370972","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPIN1"
"ACE","Angiotensin I Converting Enzyme","Protein Coding","P12821","64","GC17P063477","12.2275142669678","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE"
"AKT2","AKT Serine/Threonine Kinase 2","Protein Coding","P31751","67","GC19M040230","12.1082925796509","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AKT2"
"IGFBP1","Insulin Like Growth Factor Binding Protein 1","Protein Coding","P08833","56","GC07P049854","12.0367069244385","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1"
